branch,phone_number,address,pincode
Anza,(415) 355-5717,550 37th Ave. (near Anza) ,94121
Bayview/Linda Brooks-Burton,(415) 355-5757,5075 Third St. (at Revere),94124
Bernal Heights,(415) 355-2810,500 Cortland Ave. (at Moultrie),94110
Chinatown,(415) 355-2888,1135 Powell St. (near Jackson),94108
Eureka Valley/Harvey Milk Memorial,(415) 355-5616,1 José Sarria Court (16th Street near Market) ,94114
Excelsior,(415) 355-2868,4400 Mission St. (at Cotter),94112
Glen Park,(415) 355-2858,2825 Diamond St. (near Bosworth),94131
Golden Gate Valley,(415) 355-5666,1801 Green St. (at Octavia),94123
Ingleside,(415) 355-2898,1298 Ocean Ave. (at Plymouth),94112
Main Library,(415) 557-4400,100 Larkin St. (at Grove),94102
Mix,(415) 557-4404,100 Larkin St. (at Grove),94102
Marina,(415) 355-2823,1890 Chestnut St. (near Webster),94123
Merced,(415) 355-2825,155 Winston Dr. (at 19th Ave.),94132
Mission,(415) 355-2800,300 Bartlett St. (at 24th St.),94110
Mission Bay,(415) 355-2838,960 Fourth St. (at Berry) ,94158
Noe Valley/Sally Brunn,(415) 355-5707,451 Jersey St. (near Castro) ,94114
North Beach,(415) 355-5626,850 Columbus Ave. (at Lombard),94133
Ocean View,(415) 355-5615,850 Columbus Ave. (at Lombard),94133
Ortega,(415) 355-5700,3223 Ortega St. (at 39th Ave.),94122
Park,(415) 355-5656,1833 Page St. (at Cole),94117
Parkside,(415) 355-5770,1200 Taraval St. (at 22nd Ave.),94116
Portola,(415) 355-5660,380 Bacon St. (at Goettingen),94134
Potrero,(415) 355-2822,1616 20th St. (near Connecticut) ,94107
Presidio,(415) 355-2880,3150 Sacramento St. (near Baker) 94115,94115
Richmond,(415) 355-5600,351 9th Ave. (near Clement),94118
Sunset,(415) 355-2808,1305 18th Ave. (at Irving),94122
Visitacion Valley,(415) 355-2848,201 Leland Ave. (at Rutland) 94134,94134
West Portal,(415) 355-2886,190 Lenox Way (at Ulloa),94127
Western Addition,(415) 355-5727,1550 Scott St. (at Geary) 94115,94115