crime_code,Crime_Committed,
8,Slave Revolt,
9,Witchcraft,
10,Robbery-Murder,
11,Rape-Murder,Revolt
12,Piracy,
13,Accessory to Mur,
14,Desertion,
15,Robbery,
16,Arson,
17,Guerilla Activit,
18,Spying-Espionage,
19,Murder-Rape-Rob,
20,Burg-Att Rape,
21,Rioting,
22,Attempted Rape,
23,Murder-Burglary,
24,Kidnap-Murder,
25,Kidnap-Murdr-Rob,
26,Arson-Murder,
27,Rape-Robbery,
28,Kidnapping,
29,Prisn Brk-Kidnap,
30,Sodmy-Buggry-Bst,
31,Adultery,
33,Poisoning,
35,Concealing Birth,
36,Unspec Felony,
37,Aid Runaway Slve,
39,Counterfeiting,
40,Attempted Murder,
41,Forgery,
43,Theft-Stealing,
44,Other,
0,DoNotKnow,
2,Rape,
3,Criminal Assault,
4,Housebrkng-Burgl,
5,Horse Stealing,
6,Consp to Murder,
7,Treason,